filename,SCN,items,EAD items,EAD match
MS. Douce 306,21880,6,1,MS. Douce 306
MS. Douce 308,21882,5,10,MS. Douce 308
MS. Douce 31,21605,1,2,MS. Douce 31
MS. Douce 310,21884,1,1,MS. Douce 310
MS. Douce 311,21885,106,2,MS. Douce 311
MS. Douce 311 adds. 1,,2,#N/A,#N/A
MS. Douce 311 adds. 2,,2,#N/A,#N/A
MS. Douce 312,21886,1,2,MS. Douce 312
MS. Douce 313,21887,1,2,MS. Douce 313
MS. Douce 314,21888,1,1,MS. Douce 314
MS. Douce 318,21892,1,1,MS. Douce 318
MS. Douce 319,21893,1,1,MS. Douce 319
MS. Douce 32,21606,1,1,MS. Douce 32
MS. Douce 320,21894,2,3,MS. Douce 320
MS. Douce 321,21895,1,4,MS. Douce 321
MS. Douce 322,21896,7,#N/A,#N/A
MS. Douce 323,21897,4,5,MS. Douce 323
MS. Douce 324,21898,1,1,MS. Douce 324
MS. Douce 325,21899,1,1,MS. Douce 325
MS. Douce 326,21900,2,1,MS. Douce 326
MS. Douce 327,21901,2,2,MS. Douce 327
MS. Douce 329,21903,1,2,MS. Douce 329
MS. Douce 33,21607,1,1,MS. Douce 33
MS. Douce 330,21904,3,4,MS. Douce 330
MS. Douce 331,21905,1,2,MS. Douce 331
MS. Douce 332,21906,2,2,MS. Douce 332
MS. Douce 333,21907,1,1,MS. Douce 333
MS. Douce 335,21910,1,2,MS. Douce 335
MS. Douce 336,21911,0,#N/A,#N/A
MS. Douce 337,21912,0,#N/A,#N/A
MS. Douce 339,21914,1,1,MS. Douce 339
MS. Douce 34,21608,1,#N/A,#N/A
MS. Douce 341,21916,1,1,MS. Douce 341
MS. Douce 345,21920,1,2,MS. Douce 345
MS. Douce 347,21922,7,1,MS. Douce 347
MS. Douce 35,21609,1,1,MS. Douce 35
MS. Douce 351,21926,4,2,MS. Douce 351
MS. Douce 352,21927,1,1,MS. Douce 352
MS. Douce 353,21928,1,3,MS. Douce 353
MS. Douce 355,21930,1,2,MS. Douce 355
MS. Douce 356,21931,1,1,MS. Douce 356
MS. Douce 36,21610,5,1,MS. Douce 36
MS. Douce 360,21935,1,2,MS. Douce 360
MS. Douce 362,21937,7,2,MS. Douce 362
MS. Douce 363,21938,2,1,MS. Douce 363
MS. Douce 364,21939,1,1,MS. Douce 364
MS. Douce 365,21940,9,11,MS. Douce 365
MS. Douce 366,21941,35,2,MS. Douce 366
MS. Douce 367,21942,6,2,MS. Douce 367
MS. Douce 368,21943,1,2,MS. Douce 368
MS. Douce 369,21944,122,4,MS. Douce 369
MS. Douce 37,21611,1,1,MS. Douce 37
MS. Douce 370,21945,2,2,MS. Douce 370
MS. Douce 371,21946,1,1,MS. Douce 371
MS. Douce 372,21947,1,2,MS. Douce 372
MS. Douce 373,21948,1,3,MS. Douce 373
MS. Douce 374,21949,1,2,MS. Douce 374
MS. Douce 378,21953,1,2,MS. Douce 378
MS. Douce 379*,30821,2,4,MS. Douce 379
MS. Douce 379,21954,3,4,MS. Douce 379
MS. Douce 38,21612,7,1,MS. Douce 38
MS. Douce 380,21955,2,1,MS. Douce 380
MS. Douce 381,21956,32,13,MS. Douce 381
MS. Douce 382,21957,1,1,MS. Douce 382
MS. Douce 383,21958,4,5,MS. Douce 383
MS. Douce 384,21959,4,6,MS. Douce 384
MS. Douce 386,21961,1,2,MS. Douce 386
MS. Douce 387,21962,1,1,MS. Douce 387
MS. Douce 389,21964,1,1,MS. Douce 389
MS. Douce 39,21613,1,2,MS. Douce 39
MS. Douce 390,21965,9,#N/A,#N/A
MS. Douce 393,21969,2,12,MS. Douce 393
MS. Douce 4,21578,1,1,MS. Douce 4
MS. Douce 40,21614,10,1,MS. Douce 40
MS. Douce 41,21615,1,1,MS. Douce 41
MS. Douce 42,21616,3,2,MS. Douce 42
MS. Douce 44,21618,3,2,MS. Douce 44
MS. Douce 45,21619,11,9,MS. Douce 45
MS. Douce 48,21622,11,1,MS. Douce 48
MS. Douce 49,21623,8,1,MS. Douce 49
MS. Douce 50,21624,7,1,MS. Douce 50
MS. Douce 51,21625,12,2,MS. Douce 51
MS. Douce 52,21626,9,7,MS. Douce 52
MS. Douce 53,21627,2,4,MS. Douce 53
MS. Douce 54,21628,4,2,MS. Douce 54
MS. Douce 55,21629,1,2,MS. Douce 55
MS. Douce 57,21631,1,3,MS. Douce 57
MS. Douce 58,21632,1,#N/A,#N/A
MS. Douce 59,21633,6,1,MS. Douce 59
MS. Douce 60,21634,5,6,MS. Douce 60
MS. Douce 62,21636,13,1,MS. Douce 62
MS. Douce 63,21637,1,1,MS. Douce 63
MS. Douce 64,21638,1,2,MS. Douce 64
MS. Douce 69,21643,1,1,MS. Douce 69
MS. Douce 71,21645,1,2,MS. Douce 71
MS. Douce 72,21646,1,1,MS. Douce 72
MS. Douce 73,21647,1,1,MS. Douce 73
MS. Douce 77,21651,1,1,MS. Douce 77
MS. Douce 78,21652,3,8,MS. Douce 78
MS. Douce 79,21653,2,1,MS. Douce 79
MS. Douce 8,21582,1,1,MS. Douce 8
MS. Douce 80,21654,1,2,MS. Douce 80
MS. Douce 84,21658,3,5,MS. Douce 84
MS. Douce 85,21659,27,1,MS. Douce 85
MS. Douce 87,21661,4,6,MS. Douce 87
MS. Douce 88,21662,9,7,MS. Douce 88
MS. Douce 89,21663,4,2,MS. Douce 89
MS. Douce 9,21583,1,2,MS. Douce 9
MS. Douce 91,21665,1,2,MS. Douce 91
MS. Douce 92,21666,1,1,MS. Douce 92
MS. Douce 93,21667,15,3,MS. Douce 93
MS. Douce 94,21668,1,2,MS. Douce 94
MS. Douce 95,21669,5,8,MS. Douce 95
MS. Douce 96,21670,1,2,MS. Douce 96
MS. Douce 98,21672,87,6,MS. Douce 98
MS. Douce 99,21673,4,5,MS. Douce 99
MS. Douce a. 1,21970,1,1,MS. Douce a. 1
MS. Douce b. 1,21972,1,1,MS. Douce b. 1
MS. Douce b. 2,21973,1,2,MS. Douce b. 2
MS. Douce b. 4,21975,1,1,MS. Douce b. 4
MS. Douce b. 5,Not in S.C. (late accession),10,#N/A,#N/A
MS. Douce Charters a. 1,22008,1,1,MS. Douce Charters a. 1
MS. Douce c. 4,30452,1,#N/A,#N/A
MS. Douce d. 11,21987,1,1,MS. Douce d. 11
MS. Douce d. 13,21989,5,2,MS. Douce d. 13
MS. Douce d. 19,Not in S.C.: late accession,20,#N/A,#N/A
MS. Douce d. 3,21980,1,1,MS. Douce d. 3
MS. Douce d. 4,21981,1,1,MS. Douce d. 4
MS. Douce d. 5,21982,2,2,MS. Douce d. 5
MS. Douce d. 6,21983,4,3,MS. Douce d. 6
MS. Douce f. 1,21999,1,1,MS. Douce f. 1
MS. Douce f. 2,22000,3,2,MS. Douce f. 2
MS. Douce f. 4,22002,1,1,MS. Douce f. 4
MS. Douce g. 2,22005,1,2,MS. Douce g. 2
,,,,
,,,#N/A,
